name,16S.match,23S.match,blaTEM.match,folP.match,gyrA.match,mtrR.match,mtrR_promoter.match,parC.match,parE.match,penA.match,ponA.match,porA.match,porB1a.match,porB1b.match,rpoB.match,rpsJ.match,tetM.match
ERR1067765,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no,yes,no
ERR1067766,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no,yes,no
ERR1067767,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no,yes,no
ERR1067768,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,yes,yes,no
ERR1067769,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no,yes,no
ERR1067770,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,yes,no
ERR1067771,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,yes,no
ERR1067772,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no,yes,no
ERR1067773,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no,yes,no
ERR1067774,no,no,yes,yes,yes,no,yes,no,no,no,yes,no,no,yes,no,yes,yes
ERR1067775,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
ERR1067776,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,no
ERR1067777,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no
ERR1067778,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no
ERR1067779,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,yes,no,yes,no
ERR1067780,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,no
ERR1067781,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
ERR1067782,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no
ERR1067783,no,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,yes,no
ERR1067784,no,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,yes,yes,no
ERR1067785,no,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,yes,no
ERR1067786,no,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,yes,yes,no
ERR1067787,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no
ERR1067788,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no
ERR1067789,no,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,yes,no
ERR1067790,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no
ERR1067791,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no
ERR1067792,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,yes,no
ERR1067793,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,no
ERR1067794,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no
ERR1067795,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no
ERR1067796,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no
ERR1067797,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
ERR1067798,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no
ERR1067799,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,no
ERR1067800,no,no,no,yes,yes,no,yes,no,no,no,yes,no,no,no,no,yes,no
ERR1067801,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no
ERR1067802,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,no
ERR1067803,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,yes,no,no,no
ERR1067804,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,no
ERR1067805,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,yes,yes,no
ERR1067806,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
ERR1067807,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,yes,no,no,no
ERR1067808,no,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,yes,no
ERR1067809,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,no,yes,no
ERR1067810,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
ERR1067811,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,yes
ERR1067812,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,no
ERR1067813,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no,yes,no
ERR1067814,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,yes,no
ERR1067815,no,no,no,yes,yes,no,yes,no,no,no,yes,no,no,yes,no,yes,no
ERR1067816,no,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,yes,yes,no
ERR1067817,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,no
ERR1067818,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no
ERR1067820,no,no,no,yes,yes,no,yes,yes,no,no,yes,no,no,yes,no,yes,no
ERR1067821,no,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,yes,no
ERR1067822,no,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,yes,no
ERR1067823,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no,yes,no
ERR1067825,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,no
ERR1067826,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,no
ERR1067827,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,no
ERR1067828,no,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,yes,yes,no
ERR1067829,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,yes,yes,no
ERR1067830,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,no,yes,no
ERR1067831,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no
ERR1067832,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,yes,no
ERR1067833,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no
ERR1067835,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,yes,no
ERR1067836,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
ERR1067837,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no,yes,no
ERR1067838,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
ERR1067839,no,no,no,yes,yes,yes,yes,no,no,yes,yes,no,no,no,no,yes,no
ERR1067840,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,yes,no,yes,no
ERR1067841,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,yes,no
ERR1067842,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no
ERR1067843,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,yes,no
ERR1067844,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no
ERR1067845,no,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,yes,yes,no
ERR1067846,no,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,no,yes,yes
ERR1067847,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,no
ERR1067848,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no
ERR1067849,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,yes,no
ERR1067850,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,yes,yes,no
ERR1067851,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no,no,no
ERR1067852,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,yes,yes,no
ERR1067853,no,no,no,yes,yes,no,yes,yes,no,no,yes,no,no,yes,no,yes,no
ERR1067854,no,no,no,yes,no,no,yes,no,no,yes,yes,no,no,yes,no,yes,no
ERR1067855,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no,yes,no
ERR1067856,no,no,yes,yes,no,no,yes,no,no,yes,yes,no,no,yes,no,yes,no
ERR1067857,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,yes,no,yes,no
ERR1067858,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,no
ERR1067859,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,yes,no
ERR1067860,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,no
ERR1067861,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,no
ERR1067862,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,no
ERR1067863,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,yes,no,yes,no
ERR1067864,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,yes,no,yes,no
ERR1067865,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,no
ERR1067866,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,yes,no,yes,no
ERR1067867,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,no,yes,no
ERR1067868,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,yes,no,yes,no
ERR1067869,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,no
ERR1067870,no,no,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,yes,no
ERR1067871,no,no,no,yes,yes,yes,yes,no,no,yes,yes,no,no,no,no,yes,no
ERR1067872,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,no
ERR1067873,no,no,yes,yes,no,no,yes,no,no,yes,no,no,no,yes,yes,yes,no
ERR1067874,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,no,yes,no
ERR1067875,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,no,yes,no
ERR1067876,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,yes,no,yes,no
ERR1067877,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,no
ERR1067878,no,no,no,yes,no,no,yes,no,no,yes,yes,no,no,yes,no,yes,no
ERR1067879,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,no
ERR1067880,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,no
ERR1067881,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,yes,no,yes,no
ERR1067882,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,yes,no
ERR1067883,no,no,no,no,no,yes,yes,no,no,no,no,no,yes,no,no,no,no
ERR1067884,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,yes
ERR1067885,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,no
ERR1067886,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,yes,no
ERR1067887,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,no
ERR1067888,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,no
ERR1067889,no,no,yes,yes,no,no,yes,no,no,yes,yes,no,no,yes,no,yes,no
ERR1067890,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no,yes,no
ERR1082156,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,yes,no
ERR1082157,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,no
ERR1082158,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,yes,no
ERR1082159,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no,yes,no
ERR1082160,no,no,no,yes,no,no,yes,no,no,yes,yes,no,no,no,no,yes,no
ERR1082161,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no,yes,no
ERR1082162,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no
ERR1082163,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,yes,no,yes,no
ERR1082164,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no
ERR1082165,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no
ERR1082166,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no,yes,no
ERR1082167,no,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes,yes,no
ERR1082168,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no,yes,no
ERR1082169,no,yes,no,yes,no,no,yes,no,no,yes,no,no,no,yes,no,yes,no
ERR1082170,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,yes,no
ERR1082171,no,yes,no,yes,no,no,yes,no,no,yes,no,no,no,yes,no,yes,no
ERR1082172,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,no
ERR1082174,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no
ERR1082175,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
ERR1082176,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no
ERR1082177,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,no
ERR1082178,no,yes,no,yes,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,no
ERR1082179,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no
ERR1082180,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no
ERR1082181,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no
ERR1082182,no,no,no,no,no,yes,yes,no,no,no,no,no,yes,no,no,no,no
ERR1082183,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no
ERR1082184,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,no
ERR1082185,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,no
ERR1082187,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,no
ERR1082188,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,no
ERR1082189,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no
ERR1082190,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no
ERR1082191,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no
ERR1082192,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
ERR1082193,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,no
ERR1082194,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no
ERR1082195,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,no
ERR1082196,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,no
ERR1082197,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no
ERR1082198,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no
ERR1082199,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no
ERR1082200,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,no
ERR1082201,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no
ERR1082202,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,no
ERR1082203,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
ERR1082204,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,yes,no,yes,no
ERR1082205,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,yes,yes,yes,no
ERR1082206,no,yes,no,yes,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,no
ERR1082207,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no
ERR1082208,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no
ERR1082209,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,yes,yes,no
ERR1082210,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no
ERR1082211,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,yes,yes,no
ERR1082212,no,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,no,yes,no
ERR1082213,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,yes,yes,no
ERR1082214,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no
ERR1082215,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no
ERR1082216,no,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,yes,no
ERR1082217,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,no
ERR1082218,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
ERR1082220,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no
ERR1082221,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no
ERR1082222,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no
ERR1082223,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,yes,no,yes,no
ERR1082224,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no
ERR1082225,no,yes,no,no,no,yes,yes,no,no,no,yes,no,no,yes,no,yes,no
ERR1082226,no,yes,no,no,no,yes,yes,no,no,no,yes,no,no,yes,no,yes,no
ERR1082227,no,yes,no,no,no,yes,yes,no,no,no,yes,no,no,yes,no,yes,no
ERR1082228,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,no
ERR1082229,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no
ERR1082230,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no
ERR1082231,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no
ERR1082232,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no
ERR1082233,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no
ERR1082234,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,yes,yes,no
ERR1082235,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,no
ERR1082236,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,no
ERR1082237,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,no
ERR1082238,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,yes,no
ERR1082239,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,yes,yes
ERR1082240,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,no
ERR1082241,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,yes,yes
ERR1082242,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,yes,no
ERR1082243,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,yes,no,yes,no
ERR1082244,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no
ERR1082245,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no
ERR1082246,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no
ERR1082247,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no
ERR1082248,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no
ERR1082249,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no
ERR1082251,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,no
ERR1082252,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,no
ERR1082253,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no,yes,no
ERR1082254,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no
ERR1082255,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no
ERR1082256,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no,yes,no
ERR1082257,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,no
ERR1082258,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no,yes,no
ERR1082259,no,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,yes,no
ERR1082260,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no
ERR1082261,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no
ERR1082262,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,no
ERR1549286,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no
ERR1549287,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no
ERR1549288,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no
ERR1549289,no,no,no,yes,yes,no,yes,yes,no,yes,no,no,no,yes,no,yes,no
ERR1549290,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no
ERR1549291,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no
ERR1549292,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no
ERR1549293,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,yes,yes,no
ERR1549294,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no,yes,no
ERR1549295,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no,yes,no
ERR1549296,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no,yes,no
ERR1549297,no,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,yes,no,yes,yes
ERR1549298,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no,yes,no
