blaTEM.WHO_M_pConjugative_00003 Made blaTEM.WHO_M_pConjugative_00003 into gene. strand=+, frame=0
mtrR.WHO_Z_01455 Made mtrR.WHO_Z_01455 into gene. strand=+, frame=0
parC.Neisseria_meningitidis_H44_76_v1_00633 Made parC.Neisseria_meningitidis_H44_76_v1_00633 into gene. strand=+, frame=0
parC.Neisseria_meningitidis_M01_240149_v1_00588 Made parC.Neisseria_meningitidis_M01_240149_v1_00588 into gene. strand=+, frame=0
parC.Neisseria_meningitidis_serogroup_A_Z2491_v1_01724 Made parC.Neisseria_meningitidis_serogroup_A_Z2491_v1_01724 into gene. strand=+, frame=0
parC.Neisseria_meningitidis_serogroup_C_FAM18_v1_01496 Made parC.Neisseria_meningitidis_serogroup_C_FAM18_v1_01496 into gene. strand=+, frame=0
parC.WHO_F_01444 Made parC.WHO_F_01444 into gene. strand=+, frame=0
parC.WHO_G_00206c Made parC.WHO_G_00206c into gene. strand=+, frame=0
parC.WHO_L_00611c Made parC.WHO_L_00611c into gene. strand=+, frame=0
parC.WHO_M_00204c Made parC.WHO_M_00204c into gene. strand=+, frame=0
parC.WHO_N_00209c Made parC.WHO_N_00209c into gene. strand=+, frame=0
parC.WHO_P_00203c Made parC.WHO_P_00203c into gene. strand=+, frame=0
parC.WHO_V_00204c Made parC.WHO_V_00204c into gene. strand=+, frame=0
parC.WHO_X_00208c Made parC.WHO_X_00208c into gene. strand=+, frame=0
parC.WHO_Y_00247c Made parC.WHO_Y_00247c into gene. strand=+, frame=0
parE.Neisseria_meningitidis_H44_76_v1_00550 Made parE.Neisseria_meningitidis_H44_76_v1_00550 into gene. strand=+, frame=0
parE.Neisseria_meningitidis_M01_240149_v1_00513 Made parE.Neisseria_meningitidis_M01_240149_v1_00513 into gene. strand=+, frame=0
parE.Neisseria_meningitidis_serogroup_A_Z2491_v1_01858 Made parE.Neisseria_meningitidis_serogroup_A_Z2491_v1_01858 into gene. strand=+, frame=0
parE.Neisseria_meningitidis_serogroup_C_FAM18_v1_01577 Made parE.Neisseria_meningitidis_serogroup_C_FAM18_v1_01577 into gene. strand=+, frame=0
parE.WHO_F_01528c Made parE.WHO_F_01528c into gene. strand=+, frame=0
parE.WHO_G_01358c Made parE.WHO_G_01358c into gene. strand=+, frame=0
parE.WHO_M_01355c Made parE.WHO_M_01355c into gene. strand=+, frame=0
parE.WHO_W_01411c Made parE.WHO_W_01411c into gene. strand=+, frame=0
penA.0.001 Made penA.0.001 into gene. strand=+, frame=0
penA.1.001 Made penA.1.001 into gene. strand=+, frame=0
penA.1.002 Made penA.1.002 into gene. strand=+, frame=0
penA.1.003 Made penA.1.003 into gene. strand=+, frame=0
penA.10.001 Made penA.10.001 into gene. strand=+, frame=0
penA.12.001 Made penA.12.001 into gene. strand=+, frame=0
penA.12.002 Made penA.12.002 into gene. strand=+, frame=0
penA.12.003 Made penA.12.003 into gene. strand=+, frame=0
penA.13.001 Made penA.13.001 into gene. strand=+, frame=0
penA.14.001 Made penA.14.001 into gene. strand=+, frame=0
penA.14.002 Made penA.14.002 into gene. strand=+, frame=0
penA.15.001 Made penA.15.001 into gene. strand=+, frame=0
penA.15.002 Made penA.15.002 into gene. strand=+, frame=0
penA.17.001 Made penA.17.001 into gene. strand=+, frame=0
penA.18.001 Made penA.18.001 into gene. strand=+, frame=0
penA.19.001 Made penA.19.001 into gene. strand=+, frame=0
penA.2.001 Made penA.2.001 into gene. strand=+, frame=0
penA.2.002 Made penA.2.002 into gene. strand=+, frame=0
penA.2.003 Made penA.2.003 into gene. strand=+, frame=0
penA.21.001 Made penA.21.001 into gene. strand=+, frame=0
penA.22.001 Made penA.22.001 into gene. strand=+, frame=0
penA.22.002 Made penA.22.002 into gene. strand=+, frame=0
penA.22.003 Made penA.22.003 into gene. strand=+, frame=0
penA.22.004 Made penA.22.004 into gene. strand=+, frame=0
penA.22.005 Made penA.22.005 into gene. strand=+, frame=0
penA.27.001 Made penA.27.001 into gene. strand=+, frame=0
penA.3.001 Made penA.3.001 into gene. strand=+, frame=0
penA.34.001 Made penA.34.001 into gene. strand=+, frame=0
penA.34.002 Made penA.34.002 into gene. strand=+, frame=0
penA.34.003 Made penA.34.003 into gene. strand=+, frame=0
penA.34.004 Made penA.34.004 into gene. strand=+, frame=0
penA.34.005 Made penA.34.005 into gene. strand=+, frame=0
penA.35.001 Made penA.35.001 into gene. strand=+, frame=0
penA.35.002 Made penA.35.002 into gene. strand=+, frame=0
penA.35.003 Made penA.35.003 into gene. strand=+, frame=0
penA.37.001 Made penA.37.001 into gene. strand=+, frame=0
penA.38.001 Made penA.38.001 into gene. strand=+, frame=0
penA.39.001 Made penA.39.001 into gene. strand=+, frame=0
penA.4.001 Made penA.4.001 into gene. strand=+, frame=0
penA.40.001 Made penA.40.001 into gene. strand=+, frame=0
penA.41.001 Made penA.41.001 into gene. strand=+, frame=0
penA.41.002 Made penA.41.002 into gene. strand=+, frame=0
penA.42.001 Made penA.42.001 into gene. strand=+, frame=0
penA.43.001 Made penA.43.001 into gene. strand=+, frame=0
penA.43.002 Made penA.43.002 into gene. strand=+, frame=0
penA.44.001 Made penA.44.001 into gene. strand=+, frame=0
penA.45.001 Made penA.45.001 into gene. strand=+, frame=0
penA.46.001 Made penA.46.001 into gene. strand=+, frame=0
penA.47.001 Made penA.47.001 into gene. strand=+, frame=0
penA.48.001 Made penA.48.001 into gene. strand=+, frame=0
penA.49.001 Made penA.49.001 into gene. strand=+, frame=0
penA.5.001 Made penA.5.001 into gene. strand=+, frame=0
penA.5.002 Made penA.5.002 into gene. strand=+, frame=0
penA.5.003 Made penA.5.003 into gene. strand=+, frame=0
penA.5.004 Made penA.5.004 into gene. strand=+, frame=0
penA.50.001 Made penA.50.001 into gene. strand=+, frame=0
penA.52.001 Made penA.52.001 into gene. strand=+, frame=0
penA.53.001 Made penA.53.001 into gene. strand=+, frame=0
penA.53.002 Made penA.53.002 into gene. strand=+, frame=0
penA.54.001 Made penA.54.001 into gene. strand=+, frame=0
penA.55.001 Made penA.55.001 into gene. strand=+, frame=0
penA.56.001 Made penA.56.001 into gene. strand=+, frame=0
penA.57.001 Made penA.57.001 into gene. strand=+, frame=0
penA.58.001 Made penA.58.001 into gene. strand=+, frame=0
penA.59.001 Made penA.59.001 into gene. strand=+, frame=0
penA.7.001 Made penA.7.001 into gene. strand=+, frame=0
penA.9.001 Made penA.9.001 into gene. strand=+, frame=0
ponA.Neisseria_meningitidis_H44_76_v1_01795 Made ponA.Neisseria_meningitidis_H44_76_v1_01795 into gene. strand=+, frame=0
ponA.Neisseria_meningitidis_MC58_v2_01817 Made ponA.Neisseria_meningitidis_MC58_v2_01817 into gene. strand=+, frame=0
ponA.Neisseria_meningitidis_serogroup_C_FAM18_v1_00419 Made ponA.Neisseria_meningitidis_serogroup_C_FAM18_v1_00419 into gene. strand=+, frame=0
ponA.WHO_F_00106 Made ponA.WHO_F_00106 into gene. strand=+, frame=0
ponA.WHO_G_00106 Made ponA.WHO_G_00106 into gene. strand=+, frame=0
ponA.WHO_W_00105 Made ponA.WHO_W_00105 into gene. strand=+, frame=0
porA.NCCP11945 Made porA.NCCP11945 into gene. strand=+, frame=0
porA.WHO_U_01087c Made porA.WHO_U_01087c into gene. strand=+, frame=0
porB1a.WHO_F_02106 Made porB1a.WHO_F_02106 into gene. strand=+, frame=0
porB1a.WHO_G_02195c Made porB1a.WHO_G_02195c into gene. strand=+, frame=0
porB1a.WHO_N_02200c Made porB1a.WHO_N_02200c into gene. strand=+, frame=0
porB1b.WHO_K_02195c Made porB1b.WHO_K_02195c into gene. strand=+, frame=0
porB1b.WHO_L_01891c Made porB1b.WHO_L_01891c into gene. strand=+, frame=0
porB1b.WHO_M_02204c Made porB1b.WHO_M_02204c into gene. strand=+, frame=0
porB1b.WHO_O_01976 Made porB1b.WHO_O_01976 into gene. strand=+, frame=0
porB1b.WHO_P_02204c Made porB1b.WHO_P_02204c into gene. strand=+, frame=0
porB1b.WHO_U_02278c Made porB1b.WHO_U_02278c into gene. strand=+, frame=0
porB1b.WHO_V_02265c Made porB1b.WHO_V_02265c into gene. strand=+, frame=0
porB1b.WHO_W_02258c Made porB1b.WHO_W_02258c into gene. strand=+, frame=0
porB1b.WHO_X_02194c Made porB1b.WHO_X_02194c into gene. strand=+, frame=0
porB1b.WHO_Y_02277c Made porB1b.WHO_Y_02277c into gene. strand=+, frame=0
porB1b.WHO_Z_02266c Made porB1b.WHO_Z_02266c into gene. strand=+, frame=0
porB2.Neisseria_meningitidis_serogroup_C_FAM18_v1_01992 Made porB2.Neisseria_meningitidis_serogroup_C_FAM18_v1_01992 into gene. strand=+, frame=0
porB3.Neisseria_meningitidis_H44_76_v1_02028 Made porB3.Neisseria_meningitidis_H44_76_v1_02028 into gene. strand=+, frame=0
porB3.Neisseria_meningitidis_M01_240149_v1_00150 Made porB3.Neisseria_meningitidis_M01_240149_v1_00150 into gene. strand=+, frame=0
porB3.Neisseria_meningitidis_MC58_v2_02051 Made porB3.Neisseria_meningitidis_MC58_v2_02051 into gene. strand=+, frame=0
porB3.Neisseria_meningitidis_serogroup_A_Z2491_v1_00376 Made porB3.Neisseria_meningitidis_serogroup_A_Z2491_v1_00376 into gene. strand=+, frame=0
rpoB.Neisseria_meningitidis_H44_76_v1_00134 Made rpoB.Neisseria_meningitidis_H44_76_v1_00134 into gene. strand=+, frame=0
rpoB.Neisseria_meningitidis_M01_240149_v1_02024 Made rpoB.Neisseria_meningitidis_M01_240149_v1_02024 into gene. strand=+, frame=0
rpoB.Neisseria_meningitidis_serogroup_A_Z2491_v1_00134 Made rpoB.Neisseria_meningitidis_serogroup_A_Z2491_v1_00134 into gene. strand=+, frame=0
rpoB.Neisseria_meningitidis_serogroup_C_FAM18_v1_00120 Made rpoB.Neisseria_meningitidis_serogroup_C_FAM18_v1_00120 into gene. strand=+, frame=0
rpoB.WHO_F_02153c Made rpoB.WHO_F_02153c into gene. strand=+, frame=0
rpoB.WHO_M_02157 Made rpoB.WHO_M_02157 into gene. strand=+, frame=0
rpsJ.Neisseria_meningitidis_serogroup_C_FAM18_v1_00126 Made rpsJ.Neisseria_meningitidis_serogroup_C_FAM18_v1_00126 into gene. strand=+, frame=0
rpsJ.WHO_F_02142c Made rpsJ.WHO_F_02142c into gene. strand=+, frame=0
rpsJ.WHO_Y_02241 Made rpsJ.WHO_Y_02241 into gene. strand=+, frame=0
tetM.WHO_G_pTetM_00047 Made tetM.WHO_G_pTetM_00047 into gene. strand=+, frame=0
